id	Total spend	Sector	Venue	Number of courses 	Mini subscription or 5 day deal	Privilege card	subscription	Answertree	Building Predictive Models	Introduction to CHAID	Classification and Clustering	Data Entry	FastTrack	Intermediate Techniques	Introduction to SPSS	Introduction to SPSS and Statistics	Mapinfo	Perceptial Mapping	Market Segmentation	Neural Connections	Scripting	Introduction to Statistics	Tables	Time Series	ANOVA models
1	295	Health	Newcastle	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2	594	Health	SPSS WOKING	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3	545	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
4	345	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
5	545	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
6	295	Commercial	Manchester	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	80.86	Central Gov\t'	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	200	Commercial	SPSS WOKING	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	363.33	Commercial	SPSS WOKING	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	495	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
12	0	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
13	745	Local Gov\t'	Edinburgh	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
14	295	Commercial	SPSS WOKING	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
15	545	Commercial	SPSS WOKING	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
